Player,Nation,Age,Pos,G,GS,MP,FG,3P,2P,AST,STL,BLK,TOV,PTS,Team
Mouhamed Gueye,sn SEN,22,PF,33,28,533,72,21,51,27,28,33,15,197,Atlanta Hawks
Keaton Wallace,us USA,25,PG,31,5,501,65,27,38,81,28,9,33,168,Atlanta Hawks
Zaccharie Risacher,fr FRA,19,SF,75,73,1843,357,122,235,92,52,37,92,942,Atlanta Hawks
Daeqwon Plowden,us USA,26,SG,6,0,72,16,9,7,2,0,0,4,43,Atlanta Hawks
Jacob Toppin,us USA,24,SF,1,0,27,6,5,1,2,0,0,1,17,Atlanta Hawks
Kobe Bufkin,us USA,21,SG,10,0,124,18,4,14,17,3,2,8,53,Atlanta Hawks
Caris LeVert,us USA,30,SG,26,0,692,145,46,99,75,24,14,25,388,Atlanta Hawks
Jalen Johnson,us USA,23,SF,36,36,1284,271,44,227,181,56,36,106,680,Atlanta Hawks
Larry Nance Jr.,us USA,32,PF,24,3,463,80,34,46,38,20,13,16,203,Atlanta Hawks
Trae Young,us USA,26,PG,76,76,2739,566,218,348,880,91,12,355,1841,Atlanta Hawks
Onyeka Okongwu,us USA,24,C,74,40,2064,388,48,340,168,69,68,90,988,Atlanta Hawks
Dyson Daniels,au AUS,21,SG,76,76,2571,455,80,375,333,229,55,155,1073,Atlanta Hawks
Georges Niang,us USA,31,PF,28,2,644,120,76,44,44,11,7,34,339,Atlanta Hawks
Clint Capela,ch SUI,30,C,55,41,1176,218,0,218,62,34,53,47,488,Atlanta Hawks
Terance Mann,us USA,28,SG,30,1,682,118,34,84,62,19,4,22,294,Atlanta Hawks
Dominick Barlow,us USA,21,SF,35,4,375,60,7,53,19,9,16,5,148,Atlanta Hawks
Georges Niang,us USA,31,PF,79,3,1697,286,166,120,111,28,14,82,784,Atlanta Hawks
Garrison Mathews,us USA,28,SG,47,2,830,102,85,17,60,26,15,31,353,Atlanta Hawks
Vit Krejci,cz CZE,24,PG,57,16,1153,145,90,55,147,36,26,50,412,Atlanta Hawks
Luke Kornet,us USA,29,C,73,16,1361,187,0,187,117,36,71,31,441,Boston Celtics
Kristaps Porzingis,lv LVA,29,C,42,42,1210,277,103,174,87,31,63,53,818,Boston Celtics
Jaylen Brown,us USA,28,SF,63,63,2158,518,116,402,286,73,19,162,1398,Boston Celtics
Sam Hauser,us USA,27,PF,71,19,1541,214,166,48,64,41,13,23,605,Boston Celtics
Xavier Tillman Sr.,us USA,26,C,33,2,231,13,5,8,7,11,5,14,34,Boston Celtics
Jrue Holiday,us USA,34,PG,62,62,1896,254,108,146,239,66,27,77,686,Boston Celtics
Al Horford,do DOM,38,C,60,42,1659,195,114,81,128,36,51,46,538,Boston Celtics
Miles Norris,us USA,24,PF,3,0,35,2,2,0,0,2,1,0,7,Boston Celtics
Payton Pritchard,us USA,27,PG,80,3,2271,409,255,154,279,70,14,83,1144,Boston Celtics
JD Davison,us USA,22,PG,16,0,93,12,4,8,13,5,1,13,33,Boston Celtics
Derrick White,us USA,30,SG,76,76,2574,424,265,159,361,72,80,131,1248,Boston Celtics
Torrey Craig,us USA,34,SF,17,3,201,16,9,7,12,6,11,8,46,Boston Celtics
Baylor Scheierman,us USA,24,SG,31,2,384,39,26,13,33,17,2,12,113,Boston Celtics
Jordan Walsh,us USA,20,PF,52,1,403,30,15,15,19,12,11,17,82,Boston Celtics
Drew Peterson,us USA,25,PF,25,1,186,17,13,4,13,5,2,8,54,Boston Celtics
Jayson Tatum,us USA,26,PF,72,72,2624,662,250,412,431,76,38,209,1932,Boston Celtics
Neemias Queta,pt POR,25,C,62,6,863,132,0,132,45,18,42,40,310,Boston Celtics
Keon Johnson,us USA,22,SG,79,56,1925,303,126,177,175,82,30,116,839,Brooklyn Nets
Day'Ron Sharpe,us USA,23,C,50,2,907,165,11,154,91,41,42,63,397,Brooklyn Nets
Cam Thomas,us USA,23,SG,25,23,781,199,68,131,94,15,2,62,599,Brooklyn Nets
Maxwell Lewis,us USA,22,SF,21,1,298,43,19,24,17,8,7,12,112,Brooklyn Nets
Nic Claxton,us USA,25,C,70,62,1882,320,5,315,157,62,100,87,724,Brooklyn Nets
Ziaire Williams,us USA,23,SF,63,45,1541,214,103,111,84,62,28,67,632,Brooklyn Nets
D'Angelo Russell,us USA,28,PG,29,26,717,120,57,63,161,33,19,58,373,Brooklyn Nets
Cui Yongxi,cn CHN,21,SG,5,0,10,1,0,1,0,0,0,0,3,Brooklyn Nets
Noah Clowney,us USA,20,PF,46,20,1042,133,87,46,40,24,21,46,420,Brooklyn Nets
Jalen Wilson,us USA,24,PF,79,22,2031,246,122,124,145,40,5,79,749,Brooklyn Nets
Killian Hayes,fr FRA,23,PG,6,5,162,18,8,10,31,4,4,9,54,Brooklyn Nets
Tyrese Martin,us USA,25,SG,60,11,1315,189,99,90,122,34,9,74,523,Brooklyn Nets
Reece Beekman,us USA,23,PG,34,4,465,34,7,27,62,32,2,21,91,Brooklyn Nets
Trendon Watford,us USA,24,PF,44,6,913,164,29,135,115,27,12,83,450,Brooklyn Nets
Tosan Evbuomwan,gb GBR,23,SF,28,0,665,94,24,70,55,24,10,39,267,Brooklyn Nets
Dariq Whitehead,us USA,20,SF,20,0,246,39,33,6,12,6,1,15,114,Brooklyn Nets
Tyson Etienne,us USA,25,PG,7,0,151,17,13,4,12,3,1,8,55,Brooklyn Nets
Drew Timme,us USA,24,PF,9,2,254,45,9,36,20,4,1,15,109,Brooklyn Nets
Cameron Johnson,us USA,28,PF,57,57,1800,355,159,196,194,53,25,99,1070,Brooklyn Nets
Coby White,us USA,24,SG,74,73,2450,508,216,292,330,69,16,177,1509,Chicago Bulls
Lonzo Ball,us USA,27,PG,35,14,777,89,67,22,115,47,17,41,267,Chicago Bulls
Jalen Smith,us USA,24,C,64,2,962,190,72,118,65,17,44,37,524,Chicago Bulls
Matas Buzelis,us USA,20,SF,80,31,1511,252,96,156,79,29,75,74,688,Chicago Bulls
Kevin Huerter,us USA,26,SG,26,16,780,129,70,59,82,30,7,30,343,Chicago Bulls
Emanuel Miller,ca CAN,24,PF,6,0,25,4,0,4,2,1,0,0,10,Chicago Bulls
Zach Collins,us USA,27,PF,28,8,552,92,18,74,59,15,14,37,240,Chicago Bulls
Ayo Dosunmu,us USA,25,SG,46,26,1394,221,62,159,208,43,18,69,566,Chicago Bulls
Jahmir Young,us USA,24,PG,6,0,30,4,1,3,6,0,0,1,11,Chicago Bulls
Chris Duarte,do DOM,27,SG,17,0,74,12,6,6,9,0,0,1,36,Chicago Bulls
Patrick Williams,us USA,23,PF,63,36,1576,205,96,109,124,48,32,86,566,Chicago Bulls
Nikola Vucevic,me MNE,34,C,73,72,2278,550,129,421,256,61,52,119,1349,Chicago Bulls
Josh Giddey,au AUS,22,PG,70,69,2117,371,105,266,503,84,45,202,1022,Chicago Bulls
Jevon Carter,us USA,29,PG,36,1,321,55,35,20,40,13,3,11,153,Chicago Bulls
E.J. Liddell,us USA,24,PF,12,0,53,8,3,5,3,1,1,2,21,Chicago Bulls
Dalen Terry,us USA,22,SG,73,5,987,120,37,83,97,44,15,53,326,Chicago Bulls
Tre Jones,us USA,25,PG,18,9,455,83,11,72,88,19,5,14,207,Chicago Bulls
Julian Phillips,us USA,21,SF,79,5,1123,128,50,78,39,38,20,27,366,Chicago Bulls
Talen Horton-Tucker,us USA,24,SG,58,0,724,133,41,92,83,21,11,40,379,Chicago Bulls
Adama Sanogo,ml MLI,22,C,4,0,21,4,0,4,1,0,0,1,8,Chicago Bulls
Damion Baugh,us USA,24,SG,15,2,370,42,12,30,56,15,2,31,109,Charlotte Hornets
Miles Bridges,us USA,26,PF,64,64,2029,469,141,328,248,44,45,136,1300,Charlotte Hornets
Jusuf Nurkic,ba BIH,30,C,26,9,471,94,13,81,68,17,18,40,238,Charlotte Hornets
Seth Curry,us USA,34,SG,68,14,1062,164,83,81,60,27,7,32,444,Charlotte Hornets
Isaiah Wong,us USA,24,SG,20,0,265,41,13,28,28,11,0,18,120,Charlotte Hornets
KJ Simpson,us USA,22,PG,36,15,842,104,33,71,112,34,6,56,282,Charlotte Hornets
LaMelo Ball,us USA,23,PG,47,47,1505,406,179,227,346,54,13,167,1184,Charlotte Hornets
Tidjane Salaun,fr FRA,19,PF,60,10,1244,114,58,56,74,29,14,58,353,Charlotte Hornets
Malachi Flynn,us USA,26,PG,4,0,44,5,1,4,7,3,0,4,16,Charlotte Hornets
Josh Green,au AUS,24,SG,68,67,1887,180,97,83,108,74,15,70,506,Charlotte Hornets
Moussa Diabate,fr FRA,23,C,71,8,1241,167,0,167,56,46,40,61,403,Charlotte Hornets
Taj Gibson,us USA,39,C,37,11,409,47,1,46,21,9,18,25,107,Charlotte Hornets
Josh Okogie,ng NGA,26,SG,15,6,274,38,16,22,19,27,8,15,133,Charlotte Hornets
DaQuan Jeffries,us USA,27,SG,47,20,1071,118,55,63,53,26,25,35,315,Charlotte Hornets
Grant Williams,us USA,26,PF,16,7,479,54,27,27,37,18,13,28,166,Charlotte Hornets
Nick Smith Jr.,us USA,20,SG,60,27,1369,222,104,118,145,17,6,82,591,Charlotte Hornets
Jaylen Sims,us USA,26,SG,6,0,112,12,6,6,12,3,1,8,42,Charlotte Hornets
Marcus Garrett,us USA,26,SG,4,0,79,11,3,8,13,3,2,6,28,Charlotte Hornets
Mark Williams,us USA,23,C,44,41,1171,270,0,270,109,32,54,71,671,Charlotte Hornets
Tre Mann,us USA,23,PG,13,0,319,70,24,46,39,7,4,25,183,Charlotte Hornets
Brandon Miller,us USA,22,SF,27,27,924,198,104,94,98,29,20,76,568,Charlotte Hornets
Wendell Moore Jr.,us USA,23,SG,16,0,280,36,10,26,19,10,2,18,87,Charlotte Hornets
Elfrid Payton,us USA,30,PG,6,2,123,3,0,3,20,6,3,7,6,Charlotte Hornets
Javonte Green,us USA,31,SG,18,1,166,23,8,15,11,10,1,4,59,Cleveland Cavaliers
Donovan Mitchell,us USA,28,SG,71,71,2232,585,233,352,354,95,17,149,1701,Cleveland Cavaliers
Dean Wade,us USA,28,PF,59,30,1252,112,80,32,76,42,20,22,320,Cleveland Cavaliers
Luke Travers,au AUS,23,SG,12,0,88,5,0,5,8,1,1,8,12,Cleveland Cavaliers
Jaylon Tyson,us USA,22,SG,47,3,453,64,20,44,44,13,3,26,167,Cleveland Cavaliers
Jarrett Allen,us USA,26,C,82,82,2296,452,0,452,158,77,73,97,1103,Cleveland Cavaliers
Evan Mobley,us USA,23,PF,71,71,2167,505,85,420,226,61,113,145,1316,Cleveland Cavaliers
Isaac Okoro,us USA,24,SG,55,22,1053,124,56,68,68,32,16,23,337,Cleveland Cavaliers
Darius Garland,us USA,25,PG,75,75,2301,554,212,342,506,91,11,189,1544,Cleveland Cavaliers
De'Andre Hunter,us USA,27,SF,27,5,676,131,60,71,35,19,8,23,386,Cleveland Cavaliers
Craig Porter Jr.,us USA,24,PG,51,1,513,72,21,51,71,17,15,38,188,Cleveland Cavaliers
Tristan Thompson,ca CAN,33,C,40,0,328,31,0,31,24,2,11,14,69,Cleveland Cavaliers
Chuma Okeke,us USA,26,PF,2,0,25,2,1,1,2,0,1,0,5,Cleveland Cavaliers
Nae'Qwan Tomlin,us USA,24,PF,5,1,63,13,2,11,2,0,1,2,36,Cleveland Cavaliers
Georges Niang,us USA,31,PF,51,1,1053,166,90,76,67,17,7,48,445,Cleveland Cavaliers
Sam Merrill,us USA,28,SG,71,4,1401,172,137,35,108,53,14,35,509,Cleveland Cavaliers
Max Strus,us USA,28,SF,50,37,1273,165,113,52,158,26,12,54,471,Cleveland Cavaliers
Emoni Bates,us USA,21,SF,10,0,75,13,11,2,8,1,1,2,37,Cleveland Cavaliers
Ty Jerome,us USA,27,SG,70,3,1392,319,111,208,237,78,3,92,878,Cleveland Cavaliers
P.J. Washington,us USA,26,PF,57,56,1835,301,91,210,131,63,60,118,836,Dallas Mavericks
Klay Thompson,us USA,34,SF,72,72,1965,361,216,145,145,50,30,88,1005,Dallas Mavericks
Jaden Hardy,us USA,22,SG,57,3,907,180,76,104,81,28,5,82,496,Dallas Mavericks
Spencer Dinwiddie,us USA,31,PG,79,30,2136,284,109,175,349,70,17,102,872,Dallas Mavericks
Jazian Gortman,us USA,21,PG,16,0,57,9,4,5,6,2,1,5,24,Dallas Mavericks
Anthony Davis,us USA,31,PF,51,51,1706,470,35,435,181,59,110,113,1261,Dallas Mavericks
Dante Exum,au AUS,29,PG,20,13,372,64,23,41,56,12,3,22,174,Dallas Mavericks
Dwight Powell,ca CAN,33,C,55,3,551,42,2,40,55,18,21,18,114,Dallas Mavericks
Caleb Martin,us USA,29,SF,14,0,275,28,4,24,26,12,3,13,75,Dallas Mavericks
Naji Marshall,us USA,27,SF,69,31,1919,362,60,302,208,70,11,112,914,Dallas Mavericks
Maxi Kleber,de GER,33,PF,34,4,637,37,13,24,43,9,17,23,103,Dallas Mavericks
Olivier-Maxence Prosper,ca CAN,22,PF,52,4,584,70,12,58,40,26,6,14,201,Dallas Mavericks
Kessler Edwards,us USA,24,SF,40,18,608,67,22,45,42,19,20,16,168,Dallas Mavericks
Moses Brown,us USA,25,C,4,2,73,21,0,21,2,4,3,5,47,Dallas Mavericks
